problem,std_term_i,std_term_j,leg_term_i,leg_term_j,corr_std,corr_leg
Heat,1,u,P0(u),P1(u),,
Heat,1,u^2,P0(u),P2(u),,
Heat,1,u^3,P0(u),P3(u),,
Heat,1,u^4,P0(u),P4(u),,
Heat,1,u^5,P0(u),P5(u),,
Heat,1,u^6,P0(u),P6(u),,
Heat,1,u_x,P0(u),P0(u)u_x,,
Heat,1,uu_x,P0(u),P1(u)u_x,,
Heat,1,u^2u_x,P0(u),P2(u)u_x,,
Heat,1,u^3u_x,P0(u),P3(u)u_x,,
Heat,1,u^4u_x,P0(u),P4(u)u_x,,
Heat,1,u^5u_x,P0(u),P5(u)u_x,,
Heat,1,u^6u_x,P0(u),P6(u)u_x,,
Heat,1,u_xx,P0(u),P0(u)u_xx,,
Heat,1,uu_xx,P0(u),P1(u)u_xx,,
Heat,1,u^2u_xx,P0(u),P2(u)u_xx,,
Heat,1,u^3u_xx,P0(u),P3(u)u_xx,,
Heat,1,u^4u_xx,P0(u),P4(u)u_xx,,
Heat,1,u^5u_xx,P0(u),P5(u)u_xx,,
Heat,1,u^6u_xx,P0(u),P6(u)u_xx,,
Heat,1,u_xxx,P0(u),P0(u)u_xxx,,
Heat,1,uu_xxx,P0(u),P1(u)u_xxx,,
Heat,1,u^2u_xxx,P0(u),P2(u)u_xxx,,
Heat,1,u^3u_xxx,P0(u),P3(u)u_xxx,,
Heat,1,u^4u_xxx,P0(u),P4(u)u_xxx,,
Heat,1,u^5u_xxx,P0(u),P5(u)u_xxx,,
Heat,1,u^6u_xxx,P0(u),P6(u)u_xxx,,
Heat,1,u_xxxx,P0(u),P0(u)u_xxxx,,
Heat,1,uu_xxxx,P0(u),P1(u)u_xxxx,,
Heat,1,u^2u_xxxx,P0(u),P2(u)u_xxxx,,
Heat,1,u^3u_xxxx,P0(u),P3(u)u_xxxx,,
Heat,1,u^4u_xxxx,P0(u),P4(u)u_xxxx,,
Heat,1,u^5u_xxxx,P0(u),P5(u)u_xxxx,,
Heat,1,u^6u_xxxx,P0(u),P6(u)u_xxxx,,
Heat,1,u_xxxxx,P0(u),P0(u)u_xxxxx,,
Heat,1,uu_xxxxx,P0(u),P1(u)u_xxxxx,,
Heat,1,u^2u_xxxxx,P0(u),P2(u)u_xxxxx,,
Heat,1,u^3u_xxxxx,P0(u),P3(u)u_xxxxx,,
Heat,1,u^4u_xxxxx,P0(u),P4(u)u_xxxxx,,
Heat,1,u^5u_xxxxx,P0(u),P5(u)u_xxxxx,,
Heat,1,u^6u_xxxxx,P0(u),P6(u)u_xxxxx,,
Heat,1,u_xxxxxx,P0(u),P0(u)u_xxxxxx,,
Heat,1,uu_xxxxxx,P0(u),P1(u)u_xxxxxx,,
Heat,1,u^2u_xxxxxx,P0(u),P2(u)u_xxxxxx,,
Heat,1,u^3u_xxxxxx,P0(u),P3(u)u_xxxxxx,,
Heat,1,u^4u_xxxxxx,P0(u),P4(u)u_xxxxxx,,
Heat,1,u^5u_xxxxxx,P0(u),P5(u)u_xxxxxx,,
Heat,1,u^6u_xxxxxx,P0(u),P6(u)u_xxxxxx,,
Heat,u,u^2,P1(u),P2(u),0.6224,0.186
Heat,u,u^3,P1(u),P3(u),0.9554,-0.9737
Heat,u,u^4,P1(u),P4(u),0.6687,-0.1839
