problem,D,P,algorithm,task,term,true_value,estimated,rel_error_pct,variance,pip,is_true_term
Heat,6,6,SINDy,Drift,u_xx,1.0,1.009129,0.9,,,True
Heat,6,6,VB_Alg2,Drift,1,,-0.000761,,7.425070920626385e-06,1.0,False
Heat,6,6,VB_Alg2,Drift,u_xx,1.0,1.00912,0.9,0.00019884080116033953,1.0,True
Heat,6,6,VB_Alg1,Drift,1,,-0.032995,,0.0010736837816834397,1.0,False
Heat,6,6,VB_Alg1,Drift,u,,-0.126851,,0.022843622369551293,1.0,False
Heat,6,6,VB_Alg1,Drift,u^2,,0.653698,,0.176266888079596,1.0,False
Heat,6,6,VB_Alg1,Drift,u^3,,0.828306,,0.5343656723070073,1.0,False
Heat,6,6,VB_Alg1,Drift,u^4,,-1.57668,,1.2404421928550655,1.0,False
Heat,6,6,VB_Alg1,Drift,u^5,,-0.97304,,0.8942466907431826,1.0,False
Heat,6,6,VB_Alg1,Drift,u^6,,0.992664,,0.712081465070073,1.0,False
Heat,6,6,VB_Alg1,Drift,uu_x,,-0.183142,,0.06523948418321457,0.9999999999909923,False
Heat,6,6,VB_Alg1,Drift,u^3u_x,,0.618539,,1.6177268038236365,1.0,False
Heat,6,6,VB_Alg1,Drift,u^4u_x,,1.070285,,0.18090395349411145,1.0,False
Heat,6,6,VB_Alg1,Drift,u^5u_x,,-1.126025,,1.1147105440740546,1.0,False
Heat,6,6,VB_Alg1,Drift,u_xx,1.0,0.964796,-3.5,0.0011207777206126703,1.0,True
Heat,6,6,VB_Alg1,Drift,uu_xx,,0.161979,,0.12355264453760967,1.0,False
Heat,6,6,VB_Alg1,Drift,u^2u_xx,,0.831254,,0.5725742127717098,1.0,False
Heat,6,6,VB_Alg1,Drift,u^3u_xx,,-1.170693,,2.43854410441056,1.0,False
Heat,6,6,VB_Alg1,Drift,u^4u_xx,,-1.634543,,2.371128339467759,1.0,False
Heat,6,6,VB_Alg1,Drift,u^5u_xx,,0.793107,,1.9007542483786872,1.0,False
Heat,6,6,VB_Alg1,Drift,u^6u_xx,,0.618264,,0.6388927378999907,1.0,False
Heat,6,6,VB_Alg1,Drift,u^2u_xxx,,0.385595,,0.028433801625534445,1.0,False
