problem,D,P,algorithm,task,term,true_value,estimated,rel_error_pct,variance,pip,is_true_term
Heat,6,6,SINDy,Drift,u_xx,1,1.009044,0.9,,,TRUE
Heat,6,6,SINDy,Diffusion,1,1,0.978657,-2.1,1.072905632,,TRUE
Heat,3,6,SINDy,Drift,u_xx,1,1.009044,0.9,,,TRUE
Heat,3,6,SINDy,Diffusion,1,1,0.978657,-2.1,1.072905632,,TRUE
Heat,6,3,SINDy,Drift,u_xx,1,1.009044,0.9,,,TRUE
Heat,6,3,SINDy,Diffusion,1,1,0.978657,-2.1,1.072905632,,TRUE
Heat,3,3,SINDy,Drift,u_xx,1,1.009044,0.9,,,TRUE
Heat,3,3,SINDy,Diffusion,1,1,0.978657,-2.1,1.072905632,,TRUE
Nagumo,6,6,SINDy,Drift,u,0.5,0.500232,0,,,TRUE
Nagumo,6,6,SINDy,Drift,u^2,0.5,0.498184,-0.4,,,TRUE
Nagumo,6,6,SINDy,Drift,u^3,-1,-1.039504,-4,,,TRUE
Nagumo,6,6,SINDy,Drift,u_xx,1,0.972448,-2.8,,,TRUE
Nagumo,6,6,SINDy,Diffusion,1,1,0.978621,-2.1,1.074725171,,TRUE
Nagumo,3,6,SINDy,Drift,u,0.5,0.442565,-11.5,,,TRUE
Nagumo,3,6,SINDy,Drift,u^2,0.5,0.506923,1.4,,,TRUE
Nagumo,3,6,SINDy,Drift,u^3,-1,-0.613004,38.7,,,TRUE
Nagumo,3,6,SINDy,Drift,u^5,,-0.469609,,,,FALSE
Nagumo,3,6,SINDy,Drift,u_xx,1,0.975108,-2.5,,,TRUE
Nagumo,3,6,SINDy,Diffusion,1,1,0.978621,-2.1,1.074725171,,TRUE
Nagumo,6,3,SINDy,Drift,u,0.5,0.500232,0,,,TRUE
Nagumo,6,3,SINDy,Drift,u^2,0.5,0.498184,-0.4,,,TRUE
Nagumo,6,3,SINDy,Drift,u^3,-1,-1.039504,-4,,,TRUE
Nagumo,6,3,SINDy,Drift,u_xx,1,0.972448,-2.8,,,TRUE
Nagumo,6,3,SINDy,Diffusion,1,1,0.978621,-2.1,1.074725171,,TRUE
Nagumo,3,3,SINDy,Drift,u,0.5,0.500232,0,,,TRUE
Nagumo,3,3,SINDy,Drift,u^2,0.5,0.498184,-0.4,,,TRUE
Nagumo,3,3,SINDy,Drift,u^3,-1,-1.039504,-4,,,TRUE
Nagumo,3,3,SINDy,Drift,u_xx,1,0.972448,-2.8,,,TRUE
Nagumo,3,3,SINDy,Diffusion,1,1,0.978621,-2.1,1.074725171,,TRUE
Allen_Cahn,6,6,SINDy,Drift,u,1,1.015721,1.6,,,TRUE
Allen_Cahn,6,6,SINDy,Drift,u^3,-1,-1.048569,-4.9,,,TRUE
Allen_Cahn,6,6,SINDy,Drift,u^4u_x,,-0.546319,,,,FALSE
Allen_Cahn,6,6,SINDy,Drift,u_xx,1,0.998584,-0.1,,,TRUE
Allen_Cahn,6,6,SINDy,Diffusion,1,1,0.979195,-2.1,1.045717627,,TRUE
Allen_Cahn,3,6,SINDy,Drift,u,1,1.058297,5.8,,,TRUE
Allen_Cahn,3,6,SINDy,Drift,u^3,-1,-1.394924,-39.5,,,TRUE
Allen_Cahn,3,6,SINDy,Drift,u^4,,0.357097,,,,FALSE
Allen_Cahn,3,6,SINDy,Drift,u^5,,0.360004,,,,FALSE
Allen_Cahn,3,6,SINDy,Drift,u^6,,-0.484917,,,,FALSE
Allen_Cahn,3,6,SINDy,Drift,u^4u_x,,-0.53489,,,,FALSE
Allen_Cahn,3,6,SINDy,Drift,u_xx,1,0.994122,-0.6,,,TRUE
Allen_Cahn,3,6,SINDy,Diffusion,1,1,0.979195,-2.1,1.045717627,,TRUE
Allen_Cahn,6,3,SINDy,Drift,u,1,1.013769,1.4,,,TRUE
Allen_Cahn,6,3,SINDy,Drift,u^3,-1,-1.046203,-4.6,,,TRUE
Allen_Cahn,6,3,SINDy,Drift,u_xx,1,0.996636,-0.3,,,TRUE
Allen_Cahn,6,3,SINDy,Diffusion,1,1,0.979195,-2.1,1.045717627,,TRUE
